GN;Promax;Código SAP;Rede Código;CNPJ;Inplant;Rede;CDD;EG DV;Nome;UNB;PDV;Segunda;Terça;Quarta;Quinta;Sexta;Sábado;LAT;LONG
Anna Clara;44426;10042466;1,95E+03;4,78246E+13;Maísa Monteiro Alves;Caique;GAM;988260;Caique Samambaia.610;39;44426;1;0;0;0;0;0;-15,8557554;-48,0785317
Anna Clara;44442;10043875;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;1004107;Bellavia;39;44442;1;0;0;0;0;0;-15,8540669;-48,0304901
Anna Clara;44444;10028363;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;833088;B06  Bellavia 513 Norte;39;44444;1;0;0;0;0;0;-15,7502923;-47,8949446
Anna Clara;44445;10031741;1,68E+03;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;871494;Bevia Itapoa;39;44445;1;0;0;0;0;0;-15,75192;-47,76258
Anna Clara;44447;10044493;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1012312;Supercei;39;44447;1;0;0;0;0;0;-16,0212062;-48,0682367
Anna Clara;44449;10044550;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;1013050;Bellavia Setor O B13;39;44449;1;0;0;0;0;0;-15,7994093;-48,1348963
Anna Clara;44457;10044197;1,98E+03;4,96983E+13;Maísa Monteiro Alves;Vivendas;GAM;1009362;Vivendas;39;44457;0;0;0;0;1;0;-15,8188467;-48,0877267
Anna Clara;44460;10031626;4,42E+02;3,14685E+13;Maísa Monteiro Alves;Super Veneza;GAM;870099;Emporio Vitalia Lago Sul;39;44460;0;0;1;0;0;0;-15,84948;-47,90369
Anna Clara;44463;10044980;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1017314;Supercei Qnn 7 9 Tic Tac;39;44463;1;0;0;0;0;0;-15,8024896;-48,118681
Anna Clara;44480;10046147;1,98E+03;5,41429E+13;Maísa Monteiro Alves;VIVENDAS;GAM;1029096;Vivendas Expansao;39;44480;0;0;0;1;0;0;-15,794128;-48,1383619
Anna Clara;44481;10046169;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;1029304;Bella Via Tagua Park;39;44481;1;0;0;0;0;0;-15,8180345;-48,0532369
Anna Clara;44482;10046170;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;1029312;Bella Via Cnb 14;39;44482;1;0;0;0;0;0;-15,8214284;-48,0646256
Anna Clara;44491;10046802;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;1035665;Tatico Eptg;39;44491;0;0;0;1;0;0;-15,8143589;-48,0089002
Anna Clara;44494;10046967;4,42E+02;5,67015E+13;Maísa Monteiro Alves;Super Veneza;GAM;1037404;Super Veneza Guara Ii B;39;44494;0;0;0;0;1;0;-15,8349823;-47,9772493
Anna Clara;44500;10028193;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;831492;Bellavia Aguas Claras;39;44500;1;0;0;0;0;0;-15,8382822;-48,0194796
Anna Clara;45000;10028596;4,42E+02;2,90495E+13;Maísa Monteiro Alves;Super Veneza;GAM;836117;Sup Veneza Cruz Novo;39;45000;0;0;0;0;1;0;-15,8003033;-47,9381533
Daniel;55984;10033433;1,59E+03;9,47765E+12;Maísa Monteiro Alves;Fort Atacado;GAM;890146;Fort Ceilandia Norte;39;55984;0;0;0;1;0;0;-15,8086207;-48,1457313
Anna Clara;77000;10034595;4,42E+02;3,60092E+13;Maísa Monteiro Alves;Super Veneza;GAM;902276;Super Veneza Guara Ii;39;77000;0;0;0;0;1;0;-15,8164919;-47,9780024
Anna Clara;77001;10034598;4,42E+02;3,39664E+13;Maísa Monteiro Alves;Super Veneza;GAM;902233;Emporio Vitalia Park Sul;39;77001;0;0;1;0;0;0;-15,824991;-47,9570801
Anna Clara;89053;10030279;3,42E+02;2,44474E+13;Yasmin Rodrigues Araújo da Silva;Tatico;GAM;856207;Tatico Aguas Lindas;39;89053;0;0;0;1;0;0;-15,7423221;-48,2715433
Anna Clara;89054;10030645;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;859907;Tatico Recanto;39;89054;0;0;1;0;0;0;-15,90629;-48,08151
Anna Clara;89055;10030644;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;859915;Tatico Samambaia Sul;39;89055;0;0;1;0;0;0;-15,87386;-48,071
Anna Clara;89056;10030643;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;859923;Tatico Samambaia Norte;39;89056;0;0;1;0;0;0;-15,87229;-48,09214
Anna Clara;89057;10030642;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;859931;Tatico Sta Maria;39;89057;0;0;0;1;0;0;-16,0479683;-48,0338967
Anna Clara;44301;10037596;1,95E+03;1,81977E+13;Maísa Monteiro Alves;Guarapa;GAM;931632;Supermercado Guarapa Eqnm;39;44301;0;0;1;0;0;0;-15,8316848;-48,1006008
Anna Clara;44304;10037600;1,95E+03;1,98335E+13;Maísa Monteiro Alves;Guarapa;GAM;931365;Supermercado Guarapa Comprar;39;44304;0;0;1;0;0;0;-15,8446863;-48,1118929
Anna Clara;44489;10046865;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;1036289;Bellavia Sudoeste;39;44489;1;0;0;0;0;0;-15,8025339;-47,929004
Anna Clara;44490;10046803;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;1035673;Superbom Paranoa;39;44490;0;1;0;0;0;0;-15,7659574;-47,7875928
Anna Clara;44467;10045128;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1018787;Supercei Psul 30/34;39;44467;1;0;0;0;0;0;-15,8484156;-48,1156902
Anna Clara;44446;10044277;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1010131;Supercei Brazlandia;39;44446;1;0;0;0;0;0;-15,6838011;-48,1955757
Anna Clara;44448;10044549;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1013041;Supercei Samambaia Fabril 4;39;44448;1;0;0;0;0;0;-15,892039;-48,1060248
Anna Clara;44456;10044727;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1014790;Supercei Riacho Fundo;39;44456;1;0;0;0;0;0;-15,8822718;-48,0159561
Anna Clara;44462;10044979;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1017306;Supercei Qnl 9 11 Puramax;39;44462;1;0;0;0;0;0;-15,8308925;-48,0872891
Anna Clara;44455;10044700;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1014536;Supercei Qng;39;44455;1;0;0;0;0;0;-15,7999064;-48,0615488
Anna Clara;44461;10044855;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1016075;Supercei Psul Linear 10/14;39;44461;1;0;0;0;0;0;-15,8405885;-48,1149519
Anna Clara;44468;10045129;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1018795;Supercei Cei Sul 7/9;39;44468;1;0;0;0;0;0;-15,8348607;-48,0954712
Anna Clara;44343;10038413;1,95E+03;3,08582E+13;Maísa Monteiro Alves;Caique;GAM;940127;Super Top Samambaia Sul;39;44343;1;0;0;0;0;0;-15,8837588;-48,1045573
Anna Clara;44459;10044853;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;1016059;Supercei Psul Polo 26 30;39;44459;1;0;0;0;0;0;-15,84595;-48,12189
Anna Clara;44510;10047458;1,95E+03;1,98335E+13;Maísa Monteiro Alves;Guarapa;GAM;1042211;Sg Vicente;39;44510;0;0;1;0;0;0;-15,8061951;-48,0185422
Anna Clara;44502;10047314;1,98E+03;5,39839E+13;Maísa Monteiro Alves;Primor;GAM;1040898;Bravo Comercio De Alimentos Ltda;39;44502;0;0;1;0;0;0;-15,8319963;-48,0893859
Anna Clara;44493;10046931;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;1037021;Bellavia Paranoa;39;44493;1;0;0;0;0;0;-15,7735306;-47,7792355
Anna Clara;44505;10047392;1,98E+03;5,65255E+13;Maísa Monteiro Alves;Vivendas;GAM;1041606;Vivendas Gama Qd24 Lj26 Matriz;39;44505;0;0;0;1;0;0;-16,0232469;-48,0552124
Anna Clara;44509;10047457;1,98E+03;5,65255E+13;Maísa Monteiro Alves;VIVENDAS;GAM;1042203;Vivendas Gama Qd4;39;44509;0;0;0;0;1;0;-16,0209675;-48,0774221
Kelson;97629;10025119;3,95E+02;6,05722E+12;Fabricia Da Silva Oliveira;Assai Comercial E Importadora Ltda;MAN;790435;Assai Multirao;849;97629;1;1;1;1;1;1;-3,04019;-59,94427
