CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
9092;TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL;Caixa;2;23569;0;125;23444
9096;PEPSI COLA LATA 350ML SH C/12 NPAL;Caixa;2;46;0;0;46
9096;PEPSI COLA LATA 350ML SH C/12 NPAL;Caixa;1;11;0;4;7
9224;ANTARCTICA PILSEN LT 269ML SH TRANSP C/15 NPAL;Caixa;1;22558;0;359;22199
9224;ANTARCTICA PILSEN LT 269ML SH TRANSP C/15 NPAL;Caixa;2;57474;0;5816;51658
9259;SKOL LATA 350ML SH C/18 NPAL;Caixa;2;10;0;0;10
9259;SKOL LATA 350ML SH C/18 NPAL;Caixa;1;10;0;9;1
9274;PEPSI ZERO LATA 350ML SH C/12 NPAL;Caixa;2;0;0;0;0
9276;PEPSI ZERO PET 2L CAIXA C/6;Caixa;1;275;0;29;246
9276;PEPSI ZERO PET 2L CAIXA C/6;Caixa;2;1371;0;538;833
9320;BRAHMA CHOPP LT 473ML SH C/12 NPAL;Caixa;2;536;0;0;536
9320;BRAHMA CHOPP LT 473ML SH C/12 NPAL;Caixa;1;536;0;6;530
9442;PEPSI TWIST MIX BAG IN BOX 18L;Litro;1;450;0;36;414
9805;LEFFE BLONDE ONE WAY 330ML CX C/24;Caixa;2;202;0;0;202
9805;LEFFE BLONDE ONE WAY 330ML CX C/24;Caixa;1;65;0;0;65
9886;BRAHMA CHOPP LATA 350ML SH C/18 NPAL;Caixa;1;20;0;2;18
9886;BRAHMA CHOPP LATA 350ML SH C/18 NPAL;Caixa;2;20;0;0;20
10537;BOHEMIA GFA VD 990ML;Duzia;1;177;0;1;176
11190;LIPTON LIMAO PET 1,5 SHRINK C/6 HF;Caixa;2;147;0;29;118
11190;LIPTON LIMAO PET 1,5 SHRINK C/6 HF;Caixa;1;147;0;0;147
11191;LIPTON PESSEGO PET 1,5 SHRINK C/6 HF;Caixa;2;73;0;11;62
11191;LIPTON PESSEGO PET 1,5 SHRINK C/6 HF;Caixa;1;48;0;0;48
11503;ANTARCTICA SUBZERO LT 269ML SH C15 NPAL;Caixa;1;136;0;0;136
11503;ANTARCTICA SUBZERO LT 269ML SH C15 NPAL;Caixa;2;449;0;0;449
11518;SKOL ONE WAY 300ML CXPAP12;Caixa;1;39;0;1;38
12360;GUARANA ANTARCTICA ZERO LT 269ML SH C15 NPAL;Caixa;1;1;0;1;0
12360;GUARANA ANTARCTICA ZERO LT 269ML SH C15 NPAL;Caixa;2;62;0;10;52
12948;BRAHMA CHOPP ZERO LATA 350ML SH C/12 NPAL;Caixa;2;2057;0;1435;622
12948;BRAHMA CHOPP ZERO LATA 350ML SH C/12 NPAL;Caixa;1;1004;0;68;936
12951;BRAHMA CHOPP ZERO LN 355ML SIXPACK CX CART C/04;Caixa;1;23;0;4;19
12951;BRAHMA CHOPP ZERO LN 355ML SIXPACK CX CART C/04;Caixa;2;59;0;54;5
13061;H2OH LIMONETO PET 500ML SHRINK C/12 NPAL;Caixa;2;9535;0;620;8915
13061;H2OH LIMONETO PET 500ML SHRINK C/12 NPAL;Caixa;1;1310;0;108;1202
13065;H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL;Caixa;1;334;0;46;288
13065;H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL;Caixa;2;2069;0;127;1942
13194;BRAHMA CHOPP ONE WAY 300ML CX C/23;Caixa;1;381;0;21;360
